location,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,proportionate_total_deaths
San Marino,52.254794188862,33938.0,556.6669999999948,,,,56861.469999999856,,,5.640000000000021,,,,3.799999999999972,84.9700000000005,,0.0014400552818034696
Belgium,58.3354072398187,11589616.0,375.5640000000018,41.79999999999965,18.57099999999993,12.849000000000093,42658.57599999995,0.20000000000000162,114.89800000000061,4.289999999999976,25.100000000000204,31.399999999999764,,5.640000000000013,81.63000000000005,0.9309999999999966,0.0011387852137062465
Czechia,58.80202898550725,10708982.0,137.1759999999996,43.29999999999966,19.02700000000004,11.579999999999947,32605.905999999926,,227.48500000000053,6.820000000000031,30.5,38.299999999999706,,6.6300000000000665,79.3800000000003,0.8999999999999955,0.0006803547527680556
North Macedonia,,2083380.0,82.59999999999935,39.10000000000024,13.260000000000135,8.159999999999963,13111.213999999969,5.0,322.68799999999754,10.07999999999995,,,,4.279999999999977,75.7999999999995,0.7740000000000008,0.0006765514951205647
Bosnia and Herzegovina,53.61159313725495,3280815.0,68.49599999999946,42.5,16.56900000000015,10.710999999999924,11713.894999999953,0.20000000000000154,329.6349999999981,10.079999999999952,30.200000000000166,47.700000000000365,97.16399999999985,3.5,77.40000000000059,0.7799999999999953,0.0006621776638000928
Montenegro,,628062.0,46.280000000000115,39.10000000000025,14.761999999999956,9.394999999999984,16409.287999999935,1.0,387.304999999996,10.07999999999995,44.0,47.9,,3.8610000000000295,76.88000000000028,0.8290000000000036,0.0006411337052261038
Slovenia,59.457968397291125,2078932.0,102.6189999999993,44.5,19.061999999999916,12.930000000000033,31400.83999999988,,153.49300000000088,7.25,20.10000000000017,25.0,,4.5,81.31999999999975,0.9169999999999909,0.0006324911891488062
Hungary,62.527250608272624,9660350.0,108.04299999999988,43.39999999999989,18.577000000000165,11.976000000000008,26777.561000000114,0.5,278.2960000000013,7.550000000000042,26.799999999999905,34.799999999999756,,7.019999999999984,76.88000000000031,0.8540000000000004,0.0005753791385805006
Bulgaria,49.82066997518625,6948445.0,65.18000000000023,44.700000000000344,20.80100000000014,13.271999999999952,18563.307000000026,1.5,424.6879999999969,5.809999999999958,30.10000000000022,44.39999999999991,,7.454000000000035,75.0499999999995,0.8159999999999955,0.0005499640002681373
Slovakia,59.18341463414636,5459643.0,113.12799999999939,41.200000000000315,15.069999999999947,9.166999999999941,30155.152000000115,0.6999999999999945,287.95900000000177,7.289999999999972,23.10000000000018,37.70000000000028,,5.8200000000000065,77.54000000000065,0.8600000000000085,0.00039661943405381374
