country,total_vaccinations,people_fully_vaccinated,vaccines
Oman,244821.0,46258.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Zimbabwe,351799.0,43728.0,Sinopharm/Beijing
New Zealand,183351.0,42771.0,Pfizer/BioNTech
Myanmar,1040000.0,40000.0,Oxford/AstraZeneca
Palestine,206354.0,38643.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,360000.0,38000.0,Pfizer/BioNTech
Latvia,240822.0,35438.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Guinea,116113.0,32789.0,Sputnik V
Iceland,113330.0,32609.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,67366.0,31454.0,Pfizer/BioNTech
Macao,88292.0,31361.0,"Pfizer/BioNTech, Sinopharm/Beijing"
Laos,137026.0,30921.0,"Sinopharm/Beijing, Sputnik V"
Cayman Islands,63774.0,28988.0,Pfizer/BioNTech
Jersey,77185.0,27772.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Belarus,66618.0,26100.0,Sputnik V
Bermuda,52337.0,22243.0,Pfizer/BioNTech
Montenegro,58150.0,19027.0,"Sinopharm/Beijing, Sputnik V"
Aruba,43945.0,16434.0,Pfizer/BioNTech
Isle of Man,67915.0,15508.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
El Salvador,0.0,15456.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Curacao,77687.0,15365.0,"Moderna, Pfizer/BioNTech"
Guernsey,46587.0,13618.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Paraguay,93111.0,12683.0,Sputnik V
Moldova,109899.0,11358.0,Oxford/AstraZeneca
Monaco,22953.0,10859.0,Pfizer/BioNTech
Turks and Caicos Islands,24300.0,10000.0,Pfizer/BioNTech
San Marino,24262.0,8641.0,"Pfizer/BioNTech, Sputnik V"
Equatorial Guinea,55799.0,8389.0,Sinopharm/Beijing
Faeroe Islands,15531.0,5249.0,"Moderna, Pfizer/BioNTech"
Andorra,26414.0,4681.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
